f1_01[0] | type=Tx | page=1 | object=680_0 | value= | default= | flags=8388608 | maxLength= | rect=228.8,732.502,316.8,743.501 | states= | options=
f1_02[0] | type=Tx | page=1 | object=681_0 | value= | default= | flags=8388608 | maxLength= | rect=365.6,732.502,453.6,743.501 | states= | options=
f1_03[0] | type=Tx | page=1 | object=682_0 | value= | default= | flags= | maxLength=2 | rect=468.6,732.502,485.6,743.501 | states= | options=
c1_1[0] | type=Btn | page=1 | object=683_0 | value=Off | default= | flags= | maxLength= | rect=36,722,44,730 | states=1,Off | options=
c1_2[0] | type=Btn | page=1 | object=684_0 | value=Off | default= | flags= | maxLength= | rect=155.2,722,163.2,730 | states=1,Off | options=
c1_3[0] | type=Btn | page=1 | object=686_0 | value=Off | default= | flags= | maxLength= | rect=374.8,722,382.8,730 | states=1,Off | options=
f1_04[0] | type=Tx | page=1 | object=685_0 | value= | default= | flags=8388608 | maxLength= | rect=209.8,720.5,370.8,731.499 | states= | options=
f1_05[0] | type=Tx | page=1 | object=687_0 | value= | default= | flags= | maxLength=2 | rect=417.6,720.5,432,731.499 | states= | options=
f1_06[0] | type=Tx | page=1 | object=688_0 | value= | default= | flags= | maxLength=2 | rect=439.2,720.5,453.6,731.499 | states= | options=
f1_07[0] | type=Tx | page=1 | object=689_0 | value= | default= | flags= | maxLength=4 | rect=460.8,720.5,482.4,731.499 | states= | options=
f1_08[0] | type=Tx | page=1 | object=690_0 | value= | default= | flags= | maxLength=2 | rect=511.2,720.5,525.6,731.499 | states= | options=
f1_09[0] | type=Tx | page=1 | object=691_0 | value= | default= | flags= | maxLength=2 | rect=532.8,720.5,547.2,731.499 | states= | options=
f1_10[0] | type=Tx | page=1 | object=692_0 | value= | default= | flags= | maxLength=4 | rect=554.4,720.5,576,731.499 | states= | options=
c1_4[0] | type=Btn | page=1 | object=693_0 | value=Off | default= | flags= | maxLength= | rect=36,710.001,44,718.001 | states=1,Off | options=
f1_11[0] | type=Tx | page=1 | object=694_0 | value= | default= | flags=8388608 | maxLength= | rect=68.4,708.501,236.6,719.5 | states= | options=
f1_12[0] | type=Tx | page=1 | object=695_0 | value= | default= | flags=8388608 | maxLength= | rect=238.6,708.501,409.4,719.5 | states= | options=
f1_13[0] | type=Tx | page=1 | object=696_0 | value= | default= | flags=8388608 | maxLength= | rect=411.4,708.501,576,719.5 | states= | options=
f1_14[0] | type=Tx | page=1 | object=697_0 | value= | default= | flags=8388608 | maxLength= | rect=36,684,251.25,698.001 | states= | options=
f1_15[0] | type=Tx | page=1 | object=698_0 | value= | default= | flags=8388608 | maxLength= | rect=253,684,467.25,698.001 | states= | options=
f1_16[0] | type=Tx | page=1 | object=699_0 | value= | default= | flags=25165824 | maxLength=9 | rect=469,684,576,698.001 | states= | options=
f1_17[0] | type=Tx | page=1 | object=700_0 | value= | default= | flags=8388608 | maxLength= | rect=36,659.999,251.25,674 | states= | options=
f1_18[0] | type=Tx | page=1 | object=701_0 | value= | default= | flags=8388608 | maxLength= | rect=253,659.999,467.25,674 | states= | options=
f1_19[0] | type=Tx | page=1 | object=702_0 | value= | default= | flags=25165824 | maxLength=9 | rect=469,659.999,576,674 | states= | options=
c1_5[0] | type=Btn | page=1 | object=704_0 | value=Off | default= | flags= | maxLength= | rect=568,637.251,576,645.251 | states=1,Off | options=
f1_20[0] | type=Tx | page=1 | object=823_0 | value= | default= | flags=8388608 | maxLength= | rect=36,635.998,416.85,649.999 | states= | options=
f1_21[0] | type=Tx | page=1 | object=824_0 | value= | default= | flags=8388608 | maxLength= | rect=418.6,635.998,467.25,649.999 | states= | options=
f1_22[0] | type=Tx | page=1 | object=825_0 | value= | default= | flags=8388608 | maxLength= | rect=36,612,330.45,626.001 | states= | options=
f1_23[0] | type=Tx | page=1 | object=826_0 | value= | default= | flags=8388608 | maxLength= | rect=332.2,612,395.25,626.001 | states= | options=
f1_24[0] | type=Tx | page=1 | object=827_0 | value= | default= | flags=8388608 | maxLength= | rect=397,612,467.25,626.001 | states= | options=
c1_6[0] | type=Btn | page=1 | object=705_0 | value=Off | default= | flags= | maxLength= | rect=482.4,589.502,490.4,597.502 | states=1,Off | options=
c1_7[0] | type=Btn | page=1 | object=706_0 | value=Off | default= | flags= | maxLength= | rect=525.6,589.502,533.6,597.502 | states=1,Off | options=
f1_25[0] | type=Tx | page=1 | object=828_0 | value= | default= | flags=8388608 | maxLength= | rect=36,587.999,222.45,602 | states= | options=
f1_26[0] | type=Tx | page=1 | object=829_0 | value= | default= | flags=8388608 | maxLength= | rect=224.2,587.999,395.25,602 | states= | options=
f1_27[0] | type=Tx | page=1 | object=830_0 | value= | default= | flags=8388608 | maxLength= | rect=397,587.999,467.25,602 | states= | options=
c1_8[0] | type=Btn | page=1 | object=819_0 | value=Off | default= | flags= | maxLength= | rect=97.599,578,105.599,586 | states=1,Off | options=
c1_8[0] | type=Btn | page=1 | object=708_0 | value=Off | default= | flags= | maxLength= | rect=349.599,578,357.599,586 | states=4,Off | options=
c1_8[1] | type=Btn | page=1 | object=820_0 | value=Off | default= | flags= | maxLength= | rect=97.599,566.001,105.599,574.001 | states=2,Off | options=
c1_8[1] | type=Btn | page=1 | object=709_0 | value=Off | default= | flags= | maxLength= | rect=349.599,566.001,357.599,574.001 | states=5,Off | options=
c1_8[2] | type=Btn | page=1 | object=821_0 | value=Off | default= | flags= | maxLength= | rect=97.599,554.002,105.599,562.002 | states=3,Off | options=
f1_28[0] | type=Tx | page=1 | object=822_0 | value= | default= | flags=8388608 | maxLength= | rect=180,540,324,551.999 | states= | options=
f1_29[0] | type=Tx | page=1 | object=710_0 | value= | default= | flags=8388608 | maxLength= | rect=362,534.002,576,546.001 | states= | options=
c1_9[0] | type=Btn | page=1 | object=711_0 | value=Off | default= | flags= | maxLength= | rect=97.599,525.875,105.599,533.875 | states=1,Off | options=
f1_30[0] | type=Tx | page=1 | object=712_0 | value= | default= | flags=8388608 | maxLength= | rect=313.2,513.5,576,524.999 | states= | options=
c1_10[0] | type=Btn | page=1 | object=713_0 | value=Off | default= | flags= | maxLength= | rect=518.4,497,526.4,505 | states=1,Off | options=
c1_10[1] | type=Btn | page=1 | object=714_0 | value=Off | default= | flags= | maxLength= | rect=554.4,497,562.4,505 | states=2,Off | options=
f1_31[0] | type=Tx | page=1 | object=814_0 | value= | default= | flags=8388608 | maxLength= | rect=145,471.002,251.25,483.001 | states= | options=
f1_32[0] | type=Tx | page=1 | object=815_0 | value= | default= | flags=8388608 | maxLength= | rect=253,471.002,359.25,483.001 | states= | options=
f1_33[0] | type=Tx | page=1 | object=816_0 | value= | default= | flags=8388608 | maxLength= | rect=361,471.002,467.25,483.001 | states= | options=
f1_34[0] | type=Tx | page=1 | object=817_0 | value= | default= | flags=8388608 | maxLength= | rect=469,471.002,576,483.001 | states= | options=
f1_35[0] | type=Tx | page=1 | object=810_0 | value= | default= | flags=8388608 | maxLength= | rect=145,459.003,251.25,471.002 | states= | options=
f1_36[0] | type=Tx | page=1 | object=811_0 | value= | default= | flags=8388608 | maxLength= | rect=253,459.003,359.25,471.002 | states= | options=
f1_37[0] | type=Tx | page=1 | object=812_0 | value= | default= | flags=8388608 | maxLength= | rect=361,459.003,467.25,471.002 | states= | options=
f1_38[0] | type=Tx | page=1 | object=813_0 | value= | default= | flags=8388608 | maxLength= | rect=469,459.003,576,471.002 | states= | options=
