f1_01[0] | type=Tx | kind=text | page=1 | object=268_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=36,683.969,366.45,697.97 | states= | onValues= | options=
f1_02[0] | type=Tx | kind=text | page=1 | object=269_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags= | maxLength=11 | rect=368.2,683.969,576,697.97 | states= | onValues= | options=
c1_1[0] | type=Btn | kind=checkbox | page=1 | object=270_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,530.22,58.4,538.22 | states=1,Off | onValues=1 | options=
c1_1[1] | type=Btn | kind=checkbox | page=1 | object=271_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,518.221,58.4,526.221 | states=2,Off | onValues=2 | options=
c1_1[2] | type=Btn | kind=checkbox | page=1 | object=272_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,506.269,58.4,514.269 | states=3,Off | onValues=3 | options=
c1_1[3] | type=Btn | kind=checkbox | page=1 | object=273_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,494.22,58.4,502.22 | states=4,Off | onValues=4 | options=
c1_1[4] | type=Btn | kind=checkbox | page=1 | object=274_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,482.221,58.4,490.221 | states=5,Off | onValues=5 | options=
c1_1[5] | type=Btn | kind=checkbox | page=1 | object=275_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=50.4,470.219,58.4,478.219 | states=6,Off | onValues=6 | options=
f1_03[0] | type=Tx | kind=text | page=1 | object=373_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8392704 | maxLength= | rect=36,371.971,172.05,395.972 | states= | onValues= | options=
f1_04[0] | type=Tx | kind=text | page=1 | object=374_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=172.8,371.971,223.2,383.972 | states= | onValues= | options=
f1_05[0] | type=Tx | kind=text | page=1 | object=375_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=223.2,371.971,273.6,383.972 | states= | onValues= | options=
