f1_1[0] | type=Tx | kind=text | page=1 | object=228_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=36,671.998,452.85,685.999 | states= | onValues= | options=
f1_2[0] | type=Tx | kind=text | page=1 | object=229_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags= | maxLength=11 | rect=453.6,671.998,576,685.999 | states= | onValues= | options=
c1_1[0] | type=Btn | kind=checkbox | page=1 | object=230_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=496.8,662.002,504.8,670.002 | states=1,Off | onValues=1 | options=
c1_1[1] | type=Btn | kind=checkbox | page=1 | object=231_0 | value=Off | default= | da=/ZaDb 5.6 Tf 0 g /ZaDb 5.6 Tf 0 g | flags= | maxLength= | rect=540,662.002,548,670.002 | states=2,Off | onValues=2 | options=
f1_3[0] | type=Tx | kind=text | page=1 | object=279_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=288,504,359.25,516 | states= | onValues= | options=
f1_4[0] | type=Tx | kind=text | page=1 | object=280_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=360,504,431.25,516 | states= | onValues= | options=
f1_5[0] | type=Tx | kind=text | page=1 | object=281_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388609 | maxLength= | rect=432,504,503.25,516 | states= | onValues= | options=
f1_6[0] | type=Tx | kind=text | page=1 | object=282_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=504,504,576,516 | states= | onValues= | options=
f1_7[0] | type=Tx | kind=text | page=1 | object=275_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=288,479.999,359.25,492 | states= | onValues= | options=
f1_8[0] | type=Tx | kind=text | page=1 | object=276_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=360,479.999,431.25,492 | states= | onValues= | options=
f1_9[0] | type=Tx | kind=text | page=1 | object=277_0 | value= | default= | da=/HelveticaLTStd-Bold 8.00 Tf 0.000 0.000 0.502 rg | flags=8388608 | maxLength= | rect=432,479.999,503.25,492 | states= | onValues= | options=
